,house id,number of crimes,Assault,Breaking & Entering,Drugs,Property Crime,Robbery,Theft,Theft from Vehicle,Theft of Vehicle
103,2450000295,0,,,,,,,,
104,6197800045,230,18.0,42.0,17.0,63.0,2.0,33.0,48.0,7.0
105,1328310370,1342,86.0,280.0,31.0,355.0,20.0,180.0,257.0,133.0
106,546000875,6,2.0,1.0,,,1.0,1.0,,1.0
107,3530510041,1,,,,1.0,,,,
108,1853000400,292,6.0,77.0,5.0,81.0,,25.0,84.0,14.0
109,3134100116,3,,,1.0,1.0,,1.0,,
110,9545230140,15,,2.0,,2.0,,2.0,8.0,1.0
111,3362400511,1,,1.0,,,,,,
112,2525310310,55,5.0,20.0,2.0,10.0,,11.0,7.0,
113,6126500060,27,2.0,6.0,3.0,6.0,,6.0,,4.0
114,8961960160,33,4.0,12.0,,7.0,,2.0,5.0,3.0
115,3626039325,21,2.0,2.0,3.0,1.0,2.0,4.0,3.0,4.0
116,3362400431,1,,1.0,,,,,,
117,4060000240,2243,234.0,615.0,64.0,593.0,67.0,224.0,212.0,234.0
118,3454800060,261,30.0,60.0,4.0,55.0,1.0,28.0,40.0,43.0
119,1695900060,4,,2.0,,,,,,2.0
120,7278700070,1,,,,,,,1.0,
121,6675500070,313,20.0,44.0,16.0,82.0,5.0,62.0,75.0,9.0
122,3626039187,25,2.0,2.0,3.0,2.0,3.0,5.0,4.0,4.0
123,3524049083,32,7.0,1.0,10.0,3.0,4.0,4.0,3.0,
124,3275860240,42,4.0,8.0,,12.0,,9.0,8.0,1.0
125,4389200955,4,1.0,1.0,2.0,,,,,
126,4058801670,1123,89.0,314.0,36.0,308.0,20.0,110.0,128.0,118.0
127,8732020310,7,1.0,3.0,1.0,,,,,2.0
128,2331300505,1,,1.0,,,,,,
129,7853210060,116,16.0,14.0,9.0,31.0,,25.0,15.0,6.0
130,3668000070,108,35.0,20.0,14.0,19.0,,12.0,4.0,4.0
131,9545240070,9,,2.0,,2.0,,1.0,3.0,1.0
132,1243100136,118,8.0,32.0,,36.0,,12.0,28.0,2.0
133,8929000270,116,6.0,12.0,10.0,33.0,3.0,31.0,19.0,2.0
134,2767602356,0,,,,,,,,
135,921049315,571,46.0,153.0,11.0,128.0,6.0,78.0,104.0,45.0
136,3655000070,604,44.0,166.0,10.0,143.0,5.0,73.0,107.0,56.0
137,4027700812,2,,,,,,,2.0,
138,3992700335,2,,,,,,1.0,1.0,
139,2767603505,0,,,,,,,,
140,4232901525,0,,,,,,,,
141,1777500060,159,9.0,42.0,1.0,37.0,1.0,17.0,45.0,7.0
142,1432900240,576,15.0,95.0,18.0,116.0,7.0,190.0,90.0,45.0
143,6140100875,12,,,3.0,1.0,2.0,4.0,2.0,
144,6071600370,7,3.0,,,1.0,,1.0,2.0,
145,1526069017,91,8.0,28.0,2.0,29.0,1.0,7.0,15.0,1.0
146,809001525,1,,,,1.0,,,,
147,3224079105,151,5.0,25.0,5.0,35.0,1.0,19.0,52.0,9.0
148,8075400570,90,4.0,48.0,2.0,12.0,,13.0,6.0,5.0
149,1994200024,1,,1.0,,,,,,
150,3362900810,1,,1.0,,,,,,
151,1324300398,4,,1.0,,2.0,,,1.0,
152,537000445,242,17.0,74.0,2.0,48.0,1.0,35.0,47.0,18.0
153,7855801670,46,4.0,14.0,,11.0,,7.0,7.0,3.0
154,7920100045,1,1.0,,,,,,,
155,8960000030,387,30.0,103.0,6.0,100.0,1.0,33.0,69.0,45.0
156,6388930390,72,3.0,19.0,,12.0,,9.0,25.0,4.0
157,8731900200,12,,2.0,,1.0,,4.0,3.0,2.0
158,8029200135,95,8.0,25.0,6.0,16.0,2.0,10.0,18.0,10.0
159,1081200350,519,25.0,153.0,25.0,108.0,3.0,85.0,96.0,24.0
160,84000105,328,22.0,68.0,27.0,73.0,8.0,41.0,48.0,41.0
161,3756500060,279,17.0,35.0,16.0,85.0,7.0,62.0,37.0,20.0
162,7215720160,0,,,,,,,,
163,3574800520,274,20.0,35.0,14.0,69.0,4.0,61.0,62.0,9.0
164,2617300160,137,7.0,63.0,1.0,24.0,,21.0,14.0,7.0
165,2558660270,347,38.0,60.0,12.0,105.0,2.0,68.0,48.0,14.0
166,2009000370,2,,,1.0,1.0,,,,
167,1836980160,139,8.0,38.0,1.0,28.0,,14.0,44.0,6.0
168,3261020370,107,3.0,25.0,1.0,28.0,1.0,7.0,41.0,1.0
169,1755700060,1,,,,1.0,,,,
170,4330600435,22,1.0,1.0,,6.0,1.0,3.0,7.0,3.0
171,9542800700,11,,2.0,,,,3.0,3.0,3.0
172,1999700045,1,,,,1.0,,,,
173,1762600070,1,,,,,,,,1.0
174,1687900520,114,6.0,31.0,1.0,25.0,,9.0,38.0,4.0
175,7234600798,29,4.0,4.0,3.0,6.0,3.0,5.0,,4.0
176,3881900445,8,1.0,2.0,1.0,,,1.0,,3.0
177,2254502445,26,4.0,4.0,2.0,5.0,3.0,4.0,,4.0
178,5437810320,42,3.0,13.0,7.0,5.0,,4.0,9.0,1.0
179,9158100075,9,,,2.0,1.0,2.0,2.0,2.0,
180,3830630310,5,,,1.0,1.0,,3.0,,
181,8123100045,3,2.0,,,,,1.0,,
182,3127200041,27,3.0,3.0,,7.0,1.0,3.0,5.0,5.0
183,6661200320,128,12.0,40.0,4.0,38.0,2.0,11.0,14.0,7.0
184,11510310,52,4.0,10.0,,19.0,,8.0,8.0,3.0
185,825059270,1,,,,,,,,1.0
186,8731951370,11,1.0,2.0,,,,3.0,3.0,2.0
187,1954440060,1,,,,,,1.0,,
188,2264500350,4,,1.0,,2.0,,,1.0,
189,1115810060,5,1.0,1.0,,1.0,,1.0,1.0,
190,9477200200,619,59.0,92.0,23.0,150.0,10.0,120.0,133.0,32.0
